,course code,group,course title,prof. name,date,start time,duration,ex_id
0,1126743,1,اصول حسابداري و هزينه‌يابي,خليلي، عباس,9,7:45,90,1
1,1128413,1,شبيه‌سازي کامپيوتر,محمدپور، عادل,8,13:30,90,2
2,1129043,1,نظريه گراف,مفيدي، عليرضا,15,10:45,90,3
3,1218103,1,مباني ماتريسها و جبر خطي,اتش افروز، منا,9,7:45,90,4
4,1126713,1,اصول مديريت,محدث خراساني، علي,3,7:45,90,0
5,1218103,2,مباني ماتريسها و جبر خطي,شجاعي، ندا,15,10:45,90,5
6,1218123,1,مباني آناليز رياضي,رستمي، مهدي,21,10:45,90,6
7,1218133,1,مباني آناليز عددي,شاکري، فاطمه,23,9:15,90,7
8,1218133,2,مباني آناليز عددي,شمسي، مصطفي,14,17:0,90,8
9,1218153,1,آناليز رياضي,رضي، نرجس,14,7:45,90,9
10,1218163,1,مباني ترکيبيات,مفيدي، عليرضا,10,9:15,90,10
11,1218173,1,مباني جبر,اخلاقي، زينب,24,13:30,90,11
12,1218183,1,بهينه‌سازي خطي,هوشمند خليق، فرناز,22,7:45,90,12
13,1218193,1,جبر خطي عددي,صلواتي، عرفان,16,15:0,90,13
14,1218203,1,احتمال 1,نقشينه ارجمند، اميد,24,13:30,90,14
15,1218223,1,معادلات ديفرانسيل با مشتقات جزئي,عباس زاده، مصطفي,10,9:15,90,15
16,1218233,1,توپولوژي عمومي,هنري، بيژن,15,10:45,90,16
17,1218243,1,مباني منطق و نظريه مجموعه‌ها,ديده ور، فرزاد,21,10:45,90,17
18,1218243,2,مباني منطق و نظريه مجموعه‌ها,روشندل توانا، نازنين,23,9:15,90,18
19,1218253,1,نظريه مقدماتي اعداد,خسروي، بهروز,9,7:45,90,19
20,1218263,1,توابع مختلط,ايمان فر، مصطفي,8,13:30,90,20
21,1218272,1,روش تحقيق و گزارش‌نويسي,محمدپور، عادل,0,17:0,120,21
22,1218281,1,کارگاه کامپيوتر 1,قربانعلي، زهرا,0,13:0,120,22
23,1218281,2,کارگاه کامپيوتر 1,قربانعلي، زهرا,14,15:0,120,23
24,1218281,3,کارگاه کامپيوتر 1,قربانعلي، زهرا,16,13:0,120,24
25,1218281,4,کارگاه کامپيوتر 1,قربانعلي، زهرا,16,15:0,120,25
26,1218293,1,مباني نظريه محاسبه,ديده ور، فرزاد,15,10:45,90,26
27,1218304,1,ساختمان داده‌ها و الگوريتمها,اکبري، محمد,7,13:0,120,27
28,1218304,2,ساختمان داده‌ها و الگوريتمها,غيبي، امين,7,13:0,120,28
29,1218313,1,نظريه محاسبه,زارع ميرک آباد، فاطمه,23,9:15,90,29
30,1218323,1,طراحي و تحليل الگوريتمها,رحمتي، زاهد,2,17:0,90,30
31,1218343,1,بهينه‌سازي غيرخطي,ميرحسني، سيد علي,10,9:15,90,31
32,1218353,1,کامپايلر,شيرعلي شهرضا، محمدحسن,10,9:15,90,32
33,1218374,1,اصول سيستمهاي کامپيوتري,شيرعلي شهرضا، محمدحسن,17,15:0,120,33
34,1218383,1,طراحي هندسي کامپيوتري,محدث خراساني، علي,15,10:45,90,34
35,1218433,1,جبر,اخلاقي، زينب,10,9:15,90,35
36,1218463,1,مباحثي در رياضيات و کاربردها,ابوالحسني کومله، سيده زهرا,16,15:0,90,36
37,1218473,1,آناليز عددي,محمدي، وحيد,17,15:0,90,37
38,1218553,1,آموزش رياضيات,بخشعلي زاده، شهرناز,3,7:45,90,38
39,1218563,1,فلسفه علم,بروجرديان، ناصر,16,15:0,90,39
40,1218583,1,مباني سيستمهاي ديناميکي,نقشينه ارجمند، اميد,22,7:45,90,40
41,1218603,1,زبان تخصصي,طباطبايي فر، طيبه السادات,7,13:30,90,41
42,1236303,1,مباني علوم رياضي,مفيدي، عليرضا,17,15:0,90,42
43,1236313,1,مباني کامپيوتر و برنامه‌سازي,عسگري پور، محمد,7,9:15,90,43
44,1236313,2,مباني کامپيوتر و برنامه‌سازي,گودرزي، مرجان,23,9:15,90,44
45,1236313,3,مباني کامپيوتر و برنامه‌سازي,زارع ميرک آباد، فاطمه,7,10:45,90,45
46,1236313,4,مباني کامپيوتر و برنامه‌سازي,عسگري پور، محمد,7,10:45,90,46
47,1236322,1,مباني کارآفريني,قراگوزلو، حميد,0,17:0,120,47
48,1236322,2,مباني کارآفريني,قراگوزلو، حميد,2,17:0,120,48
49,1254083,1,بهينه‌سازي ترکيبي و آناليز شبکه‌ها,هوشمند خليق، فرناز,15,10:45,90,49
50,1255033,1,هوش مصنوعي,گودرزي، مرجان,21,10:45,90,50
51,1255033,2,هوش مصنوعي,سعيدي مسينه، زينب,1,17:0,90,51
52,1316234,1,برنامه سازي پيشرفته وکارگاه,قطعي، مهدي,17,15:0,90,52
53,1316234,2,برنامه سازي پيشرفته وکارگاه,نوري خواه، حسين,21,10:45,90,53
54,1316283,1,نرم‌افزار رياضي,اتش افروز، منا,1,17:0,90,54
55,1319153,1,مباني احتمال,امين غفاري قره شيران، مينا,24,13:30,90,55
56,1380044,1,اصول طراحي نرم افزار وکارگاه,نوري خواه، حسين,7,13:30,90,56
